페이지 구분,분류,대상,기능
용어 정의,Definition,,"실제 사후 이메일 인계에 사용되는 계획, 담당자, 확인자, 증빙과 단계 발송 개념을 정의합니다."
시스템 아키텍처 개요,Definition,,Next.js·Spring Boot·PostgreSQL이 사후 인계 상태를 관리하고 이메일·파트너·OpenAI API를 제한적으로 연계합니다.
공통 이메일 규칙,Definition,,모든 연락은 이메일로 보내되 민감 내용은 본문이 아닌 만료형 보안 화면에서만 공개합니다.
사망 확인 및 공개 정책,Definition,,"확인자 2명, 외부 파트너 증빙 검토, 7~30일 대기와 이의 제기를 모두 통과해야 실제 발송을 시작합니다."
역할별 최소 공개 정책,Definition,,각 담당자는 자신의 역할 수행에 필요한 패키지만 확인하고 다른 영역은 볼 수 없습니다.
AI 구조화 및 충돌 정책,Definition,,AI는 원문을 실행 계획으로 구조화하고 충돌 후보를 찾지만 사망과 법적 권리를 판단하지 않습니다.
증빙 보관 및 삭제 정책,Definition,,공식 증빙은 보안 화면으로만 받고 파트너 검토 완료 후 30일 이내 원본을 삭제합니다.
회원가입 / 로그인,Web Browser,계획 작성자,작성자가 계정을 만들거나 로그인해 자신의 유고 계획에 접근합니다.
서비스 안내 / 안전 동의,Web Browser,계획 작성자,실제 사후 이메일 인계의 조건과 한계를 확인하고 계획 작성을 시작합니다.
계획 홈,Web Browser,계획 작성자,"계획 준비 상태, 담당자 수락, 확인자, 충돌과 실제 사후 사건 상태를 한곳에서 확인합니다."
새 계획 만들기,Web Browser,계획 작성자,계획 이름과 사후 공개 대기 기간을 정하고 기본 인계 구역을 생성합니다.
삶의 구역 작성,Web Browser,계획 작성자,가족·관계·업무에 대한 희망을 자연어로 작성하고 AI 구조화를 요청합니다.
AI 구조화 결과 검토,Web Browser,계획 작성자,AI가 만든 대상·행동·역할·선행 조건을 원문과 비교해 확정합니다.
역할 담당자 등록,Web Browser,계획 작성자,가족·관계·업무 담당자와 대체 담당자의 이메일을 등록합니다.
역할 수락 이메일 / 화면,Web Browser,역할 담당자,담당자가 생전에 이메일을 인증하고 사후에 맡을 역할과 공개 범주를 수락합니다.
지정 확인자 등록,Web Browser,계획 작성자,사망을 독립 신고할 확인자 2명 이상을 이메일로 등록하고 책임 수락을 받습니다.
대기·이의 제기 설정,Web Browser,계획 작성자,7~30일 대기 기간과 절차를 중지할 이의 제기 이메일 연락처를 설정합니다.
충돌 점검 / 발송 순서,Web Browser,계획 작성자,자료 보존과 업무 인계가 정리·삭제보다 먼저 실행되도록 이메일 발송 단계를 구성합니다.
역할별 패키지 미리보기,Web Browser,계획 작성자,사후 이메일 인증 후 각 담당자에게 공개될 정보와 행동을 생전에 검토합니다.
선택형 생전 인계 점검,Web Browser,"계획 작성자, 역할 담당자",실제 내용을 공개하지 않고 담당자 이메일 도달과 역할 이해만 선택적으로 확인합니다.
사망 신고 이메일,Web Browser,지정 확인자,지정 확인자 2명이 서로 독립적으로 작성자의 사망을 신고합니다.
공식 증빙 보안 제출 화면,Web Browser,지정 확인자,공식 증빙은 이메일 첨부가 아닌 암호화된 보안 화면으로 제출합니다.
외부 파트너 증빙 검토,Web Browser,외부 법무·장례 파트너,외부 법무·장례 파트너가 공식 증빙을 사람의 판단으로 승인·반려합니다.
대기 기간 / 이의 제기,Web Browser,"계획 작성자, 이의 제기 연락처",증빙 승인 후 7~30일 동안 작성자 취소와 제3자 이의 제기를 받아 오발송을 막습니다.
사후 인계 이메일,Web Browser,역할 담당자,활성화된 단계의 담당자가 만료 링크와 별도 이메일 OTP 확인 후 패키지에 접근합니다.
역할별 사후 패키지,Web Browser,역할 담당자,인증된 담당자가 자신의 역할에 필요한 대상·행동·순서만 확인합니다.
단계 완료 / 대체 담당자,Web Browser,"서비스 운영자, 역할 담당자",선행 단계 완료를 확인하고 무응답·반송 시 사전 수락한 대체 담당자로 전환합니다.
이메일 발송 감사,Web Browser,서비스 운영자,발송·반송·열람·인증·취소 이력을 내용 노출 없이 추적합니다.
증빙 삭제 감사,Web Browser,"서비스 운영자, 외부 법무·장례 파트너",검토 완료 후 30일 이내 증빙 원본 삭제 여부를 추적하고 증명합니다.
마이페이지,Web Browser,계획 작성자,"계정, 계획, 이메일 검증, 담당자·확인자 상태와 삭제를 관리합니다."
